nombre_ent,nombre_mun,nombre_tip,d_nombre,d_codigopo
Baja California,Tijuana,Fraccionamiento,Puesta del Sol,22504
Tabasco,Centro,Fraccionamiento,Bosques de Araba,86294
Guanajuato,Celaya,Colonia,Santa Isabel,38090
Distrito Federal,Xochimilco,Colonia,Santa Cruz Chavarrieta,16840
Hidalgo,Atotonilco de Tula,Poblado comunal,Cuayuca,42994
Jalisco,Puerto Vallarta,Colonia,Villa las Flores,48335
Sinaloa,Ahome,Fraccionamiento,Salvador Esquer Apodaca,81270
Baja California,Tijuana,Fraccionamiento,San Mateo,22607
Tabasco,Centro,Fraccionamiento,Lomas de Bella Vista,86126
Distrito Federal,Xochimilco,Barrio,Barrio Chapultepec,16850
Hidalgo,Atotonilco de Tula,Poblado comunal,El Pedregal,42994
Chihuahua,Chihuahua,Residencial,Floresta Residencial,31104
Sinaloa,Ahome,Fraccionamiento,Santa Rosa,81263
Baja California,Tijuana,Colonia,Corona Encantada,22525
Distrito Federal,Xochimilco,Colonia,Santa Cruz de Guadalupe,16860
Hidalgo,Atotonilco de Tula,Poblado comunal,San Antonio,42992
Chihuahua,Chihuahua,Colonia,Versalles,31104
Jalisco,Puerto Vallarta,Colonia,La Aurora,48338
Baja California,Tijuana,Colonia,Granjas Campestre,22644
Guanajuato,Celaya,Colonia,Villas del Romeral,38095
Veracruz de Ignacio de la Llave,Altotonga,Colonia,Altotonga Centro,93700
Hidalgo,Atotonilco de Tula,Colonia,Loma Bonita,42980
Tabasco,Teapa,Colonia,Chapultepec,86801
Chihuahua,Chihuahua,Colonia,Los Pinos,31416
Tamaulipas,Matamoros,Colonia,Libertad y Progreso,87313
Jalisco,Puerto Vallarta,Colonia,Agua Azul,48340
Tabasco,Centro,Fraccionamiento,Hacienda Esmeralda,86280
Guanajuato,Celaya,Colonia,Independencia,38096
Distrito Federal,Xochimilco,Campamento,San Juan de los Lagos,16869
Hidalgo,Atotonilco de Tula,Colonia,Boxfi,42985
Tamaulipas,Matamoros,Colonia,Siglo XXI,87313
Jalisco,Puerto Vallarta,Colonia,Bugambilias,48340
Oaxaca,San Baltazar Loxicha,Pueblo,San Baltazar Loxicha,70930
Tabasco,Centro,Colonia,San Antonio,86289
Distrito Federal,Xochimilco,Campamento,El Cedral,16870
Jalisco,Puerto Vallarta,Colonia,Herradura,48340
Hidalgo,Actopan,Fraccionamiento,El Campanario,42503
Baja California,Tijuana,Fraccionamiento,Residencial Isla Cedros,22666
Tabasco,Centro,Colonia,Santa Rita,86289
Guanajuato,Celaya,Colonia,Santa Cecilia,38096
Distrito Federal,Xochimilco,Campamento,La Herradura Hueytepec,16880
Tamaulipas,Matamoros,Colonia,Ignacio Zaragoza,87314
Jalisco,Puerto Vallarta,Colonia,Lopez Mateos,48340
Baja California,Tijuana,Fraccionamiento,Villa Campestre,22647
Guanajuato,Celaya,Colonia,Bosques del Sol,38097
Hidalgo,Atotonilco de Tula,Poblado comunal,El Portal,42992
Chihuahua,Chihuahua,Colonia,Universitaria Bella Vista,31416
Jalisco,Puerto Vallarta,Colonia,Campestre,48343
Baja California,Tijuana,Colonia,Nueva Esperanza (La Cuesta),22640
Guanajuato,Celaya,Colonia,San Francisco,38097
Distrito Federal,Xochimilco,Pueblo,Santa Cecilia Tepetlapa,16880
Jalisco,Puerto Vallarta,Colonia,La Pedrera,48343
Hidalgo,Actopan,Fraccionamiento,Tierra y Libertad,42523
Guanajuato,Celaya,Exhacienda,San Francisco,38157
Distrito Federal,Xochimilco,Campamento,Paraje Tlachiultepec,16888
Chihuahua,Chihuahua,Colonia,Las Granjas,31100
Coahuila de Zaragoza,Saltillo,Colonia,San Ignacio,25018
Jalisco,Puerto Vallarta,Colonia,Ramblases,48343
Hidalgo,Actopan,Colonia,Guadalupe,42523
Baja California,Tijuana,Fraccionamiento,Quinta Versalles,22664
Guanajuato,Celaya,Colonia,Ejidal,38098
Distrito Federal,Xochimilco,Campamento,Villa San Isidro,16889
Chihuahua,Chihuahua,Colonia,Militar,31100
Jalisco,Puerto Vallarta,Colonia,Jardines,48344
Hidalgo,Actopan,Fraccionamiento,Luis Donaldo Colosio,42524
Baja California,Tijuana,Colonia,Granja Puesta del Sol,22607
Guanajuato,Celaya,Fraccionamiento,Quinta Arboledas,38098
Distrito Federal,Xochimilco,Pueblo,San Francisco Tlalnepantla,16900
Chihuahua,Chihuahua,Colonia,Lagos,31100
Coahuila de Zaragoza,Saltillo,Fraccionamiento,El Rosario,25297
Jalisco,Puerto Vallarta,Colonia,La Moderna,48344
Hidalgo,Actopan,Fraccionamiento,La Hacienda,42523
Baja California,Tijuana,Colonia,El Monte,22555
Guanajuato,Celaya,Colonia,Monte Blanco,38099
Tabasco,Huimanguillo,Ejido,Nuevo Progreso,86456
Distrito Federal,Xochimilco,Campamento,Los Capulines,16908
Chihuahua,Chihuahua,Colonia,Karike,31100
Jalisco,Puerto Vallarta,Colonia,Magnolias,48344
Hidalgo,Actopan,Colonia,La Floresta,42503
Baja California,Tijuana,Fraccionamiento,Mar de Cortez,22505
Guanajuato,Celaya,Colonia,San Rafael,38099
Chihuahua,Chihuahua,Colonia,Lomas Vallarta,31100
Jalisco,Puerto Vallarta,Colonia,Ojo de Agua,48344
Guanajuato,Celaya,Pueblo,San Juan de La Vega,38100
Distrito Federal,Xochimilco,Campamento,Club Monte Sur,16909
Chihuahua,Chihuahua,Colonia,Roma III,31100
Coahuila de Zaragoza,Saltillo,Zona industrial,Virreyes Industrial,25225
Jalisco,Puerto Vallarta,Colonia,Presidentes Municipales,48344
Hidalgo,Actopan,Colonia,Chapultepec,42504
Chihuahua,Chihuahua,Colonia,Roma IV,31100
Tamaulipas,Matamoros,Colonia,Las Riveras,87318
Jalisco,Puerto Vallarta,Colonia,Santa Maria,48344
Hidalgo,Actopan,Colonia,Los Frailes,42504
Baja California,Tijuana,Fraccionamiento,Coral Beach,22505
Distrito Federal,Xochimilco,Campamento,Pedregal de San Francisco,16910
Chihuahua,Chihuahua,Condominio,Roma V,31100
Jalisco,Puerto Vallarta,Colonia,5 de Diciembre,48350
Chihuahua,Chihuahua,Colonia,San Ignacio,31100
Coahuila de Zaragoza,Saltillo,Fraccionamiento,El Rodeo,25110
Hidalgo,Actopan,Colonia,Centro Sur,42505
Baja California,Tijuana,Colonia,Roberto Curiel,22634
Sinaloa,Concordia,Pueblo,Cuatantal,82670
Guanajuato,Celaya,Ejido,Santa Teresa,38106
Tabasco,Huimanguillo,Ejido,Salvador Neme Castillo,86454
Chihuahua,Chihuahua,Zona comercial,San Agustin,31100
Coahuila de Zaragoza,Saltillo,Residencial,Valle Azteca,25110
Hidalgo,Actopan,Colonia,Obrera,42505
Baja California,Tijuana,Fraccionamiento,Residencial Barcelona,22644
Guanajuato,Celaya,Ejido,Presa Blanca,38104
Chihuahua,Chihuahua,Colonia,Zaragoza,31100
Coahuila de Zaragoza,Saltillo,Colonia,La Esperanza,25088
Jalisco,Puerto Vallarta,Colonia,El Caloso,48360
Hidalgo,Actopan,Colonia,El Cerrito,42505
Guanajuato,Celaya,Hacienda,San Antonio Espinosa,38106
Sinaloa,Elota,Pueblo,El Bolillo,82758
Chihuahua,Chihuahua,Colonia,San Jorge,31100
Coahuila de Zaragoza,Saltillo,Colonia,El Refugio la Soledad,25083
Jalisco,Puerto Vallarta,Colonia,Las Canoas,48360
Baja California,Tijuana,Fraccionamiento,Residencial La Esperanza,22640
Tabasco,Centro,Conjunto habitacional,Alcatraz,86100
Chihuahua,Chihuahua,Colonia,Las Malvinas,31456
Tabasco,Centro,Fraccionamiento,Casa del ?rbol,86284
Guanajuato,Celaya,Ejido,El Molino,38110
Sinaloa,Elota,Ejido,Campo Cachanilla,82773
Chihuahua,Chihuahua,Colonia,Pavis Borunda,31456
Tamaulipas,Matamoros,Fraccionamiento,Villa Universidad,87340
Puebla,Chapulco,Pueblo,Chapulco,75810
Jalisco,Puerto Vallarta,Colonia,Buenos Aires,48370
Guanajuato,Celaya,Ejido,Puerta del Monte (Elguera),38114
Sinaloa,Elota,Ejido,Campo San Juan,82775
Coahuila de Zaragoza,Saltillo,Residencial,Hacienda del Refugio,25083
Jalisco,Puerto Vallarta,Colonia,Paso Ancho,48373
Baja California,Tecate,Fraccionamiento,Moctezuma,21483
Guanajuato,Celaya,Hacienda,Estrada,38115
Chihuahua,Chihuahua,Colonia,Aires del Sur,31456
Tamaulipas,Matamoros,Colonia,Infonavit los ?banos,87340
Jalisco,Puerto Vallarta,Colonia,Paso Del Molino,48373
Veracruz de Ignacio de la Llave,Las Minas,Pueblo,Las Minas,93740
Baja California,Tecate,Fraccionamiento,Las Torres,21453
Hidalgo,Actopan,Fraccionamiento,Trigueros,42510
Guanajuato,Celaya,Ejido,Gasca,38110
Sinaloa,Elota,Ejido,Campo Cinco (La Retama),82776
Jalisco,Puerto Vallarta,Colonia,Altavista,48380
Baja California,Tecate,Colonia,El Mirador,21483
Hidalgo,Actopan,Fraccionamiento,Las Monjas,42512
Sinaloa,Elota,Pueblo,Caimanes II,82777
Chihuahua,Chihuahua,Colonia,Los Frailes,31107
Tamaulipas,Matamoros,Ejido,Cabras Pintas,87343
Coahuila de Zaragoza,Saltillo,Residencial,Villas de San Lorenzo,25092
Jalisco,Puerto Vallarta,Colonia,Emiliano Zapata,48380
Baja California,Tecate,Colonia,Laderas de Tecate,21447
Guanajuato,Celaya,Colonia,Roque,38110
Sinaloa,Elota,Ejido,Campo Caimanes II,82777
Coahuila de Zaragoza,Saltillo,Colonia,Lomas Verdes,25096
Veracruz de Ignacio de la Llave,Tatatila,Ejido,Piedra Parada,93761
Hidalgo,Actopan,Equipamiento,Universidad del Estado de Hidalgo Campus Actopan,42507
Tabasco,Comalcalco,Colonia,Gobernadores,86670
Sinaloa,Elota,Ejido,Campo Bellavista,82786
Oaxaca,Candelaria Loxicha,Pueblo,Candelaria Loxicha,70950
Chihuahua,Chihuahua,Colonia,San Pablo,31107
Jalisco,Puerto Vallarta,Colonia,El Remance,48389
Distrito Federal,Gustavo A. Madero,Colonia,Luis Donaldo Colosio,7164
Guanajuato,Celaya,Ejido,San Isidro de Elguera,38110
Sinaloa,Elota,Ejido,Campo Los Naranjos,82786
Oaxaca,Candelaria Loxicha,Pueblo,La Galera,70950
Chihuahua,Chihuahua,Colonia,Las Animas,31450
Tamaulipas,Matamoros,Fraccionamiento,Paseo Del Magisterio,87344
Coahuila de Zaragoza,Saltillo,Colonia,Los Berros,25194
Jalisco,Puerto Vallarta,Residencial,Conchas Chinas,48390
Baja California,Tecate,Colonia,El Yaqui,21477
Sinaloa,Elota,Ejido,Empaque Tarriba,82787
Puebla,Atexcal,Pueblo,Santiago Nopala,75841
Coahuila de Zaragoza,Saltillo,Colonia,San Juanita,25088
Jalisco,Puerto Vallarta,Colonia,Amapas,48399
Baja California,Tecate,Parque industrial,Tecate,21432
Tabasco,Centro,Fraccionamiento,Sol Campestre,86039
Sinaloa,Elota,Ejido,Campo Tayoltita,82790
Chihuahua,Chihuahua,Colonia,Arboledas I,31110
Jalisco,Puerto Vallarta,Colonia,Conchas Chinas,48399
Veracruz de Ignacio de la Llave,Nautla,Ejido,La Isla de Chapachapa,93800
Baja California,Tecate,Colonia,Valle Verde,21472
Sinaloa,Elota,Pueblo,Tayoltita,82790
Tabasco,Teapa,Colonia,Chapultepec,86813
Puebla,Atexcal,Pueblo,Santa Catarina Tehuixtla,75847
Chihuahua,Chihuahua,Colonia,Arboledas IV,31110
Coahuila de Zaragoza,Saltillo,Colonia,El ?lamo II,25088
Veracruz de Ignacio de la Llave,Nautla,Pueblo,Nautla,93800
Guanajuato,Celaya,Granja,La Trinidad,38116
Sinaloa,Elota,Ejido,Campo Tayoltita II,82790
Tabasco,Teapa,Colonia,El Cerrito,86807
Chihuahua,Chihuahua,Colonia,Colinas del Sol I y II,31110
Jalisco,Cabo Corrientes,Pueblo,El Tuito,48400
Tamaulipas,Matamoros,Colonia,La Plaza,87344
Coahuila de Zaragoza,Saltillo,Colonia,El ?lamo III,25088
Tabasco,Centro,Fraccionamiento,Las Margaritas,86293
Guanajuato,Celaya,Ejido,Ejido de Silva (San Isidro),38126
Chihuahua,Chihuahua,Colonia,Lomas del Sol II,31110
Veracruz de Ignacio de la Llave,Nautla,Barrio,Pedernales,93803
Sinaloa,Ahome,Ejido,Campo Gastelum,81300
Baja California,Tecate,Conjunto habitacional,INFONAVIT Industrial,21470
Coahuila de Zaragoza,Saltillo,Colonia,Nueva Reforma,25065
Sinaloa,Ahome,Ejido,Bacaporobampo,81304
Baja California,Tecate,Fraccionamiento,Palmillas,21440
Guanajuato,Celaya,Colonia,El Becerro (Santos Degollado),38117
Tabasco,Huimanguillo,Ejido,Roberto Madrazo Pintado,86454
Chihuahua,Chihuahua,Colonia,Argentina,31110
Coahuila de Zaragoza,Saltillo,Parque industrial,La Angostura,25083
Sinaloa,Ahome,Ejido,Choacahui,81304
Baja California,Tecate,Colonia,INFONAVIT Canaima,21450
Guanajuato,Celaya,Club de golf,El ?lamo,38118
Chihuahua,Chihuahua,Colonia,Tabalaopa,31376
Tamaulipas,Matamoros,Colonia,Hacienda Del Puente,87344
Sinaloa,Ahome,Ejido,Bajada de San Miguel,81304
Baja California,Tecate,Colonia,INFONAVIT Loma Alta,21480
Chihuahua,Chihuahua,Colonia,Los Girasoles,31376
Oaxaca,Pluma Hidalgo,Pueblo,Pluma Hidalgo,70960
Sinaloa,Ahome,Ejido,Las Calaveras,81304
Baja California,Tecate,Fraccionamiento,Escudero,21452
Tabasco,Centro,Fraccionamiento,Granja Dorantes,86296
Guanajuato,Celaya,Ejido,Camargo,38120
Tamaulipas,Matamoros,Fraccionamiento,Los Encinos,87345
Sonora,Etchojoa,Ejido,Campo de los Fuertes,85283
Coahuila de Zaragoza,Saltillo,Colonia,La Florencia,25110
Hidalgo,Pisaflores,Barrio,Cuartel Morelos,42225
Veracruz de Ignacio de la Llave,Misantla,Ejido,Buenos Aires,93844
Sinaloa,Ahome,Ejido,Tozalibampo,81300
Baja California,Tecate,Fraccionamiento,FOVISSSTE,21478
Guanajuato,Celaya,Ejido,Plancarte,38120
Coahuila de Zaragoza,Saltillo,Fraccionamiento,Valle de las Torres II,25110
Hidalgo,Pisaflores,Colonia,Cuartel Escamilla,42220
Veracruz de Ignacio de la Llave,Misantla,Pueblo,La Lima,93834
Sinaloa,Ahome,Ejido,Tabelojeca,81300
Tabasco,Macuspana,Ejido,San Antonio,86726
Tamaulipas,Matamoros,Fraccionamiento,Valle de Casa Blanca,87345
Coahuila de Zaragoza,Saltillo,Fraccionamiento,Sierras del Sur,25083
Veracruz de Ignacio de la Llave,Misantla,Colonia,Misantla Centro,93820
Baja California,Tecate,Gran usuario,CERESO El Hongo,21519
Tabasco,Centro,Fraccionamiento,La Venta,86288
Sonora,Etchojoa,Granja,San Rafael,85283
Veracruz de Ignacio de la Llave,Misantla,Pueblo,Morelos,93843
Oaxaca,San Pedro el Alto,Pueblo,Los Naranjos,70966
Sinaloa,Ahome,Ejido,Macapule,81307
Baja California,Tecate,Ejido,Neji,21550
Tabasco,Nacajuca,Fraccionamiento,Tenerife,86247
Tamaulipas,Matamoros,Fraccionamiento,Valle Real,87345
Sonora,Etchojoa,Granja,San Jorge,85283
Coahuila de Zaragoza,Saltillo,Colonia,Lomas de San Francisco,25015
Veracruz de Ignacio de la Llave,Misantla,Ejido,Paso Blanco,93845
Oaxaca,San Pedro el Alto,Pueblo,San Pedro el Alto,70966
Sinaloa,Ahome,Poblado comunal,Jitzamuri,81334
Baja California,Tecate,Ejido,Guadalajara,21573
Tamaulipas,Matamoros,Colonia,?guilas 2001,87346
Sonora,Etchojoa,Granja,Providencia Dos,85283
Coahuila de Zaragoza,Saltillo,Colonia,Nueva Independencia,25015
Veracruz de Ignacio de la Llave,Misantla,Ejido,Plan de La Vega,93837
Sinaloa,Ahome,Ejido,Bolsa de Tozalibampo Dos,81334
Distrito Federal,Iztapalapa,Unidad habitacional,Violeta,9708
Guanajuato,Celaya,Ejido,San Luis Rey,38127
Chihuahua,Chihuahua,Colonia,Lomas del Sol I,31114
Tamaulipas,Matamoros,Fraccionamiento,Nuevo Milenio,87347
Sonora,Etchojoa,Granja,Aurora,85283
Coahuila de Zaragoza,Saltillo,Colonia,Nuevo Progreso,25015
Veracruz de Ignacio de la Llave,Misantla,Pueblo,Plan de La Vieja,93836
Sinaloa,Ahome,Ejido,Venustiano Carranza,81343
Baja California,Tecate,Ejido,Felipe ?ngeles,21507
Guanajuato,Celaya,Ejido,La Laja,38136
Chihuahua,Chihuahua,Colonia,Brasilia,31114
Coahuila de Zaragoza,Saltillo,Colonia,Omega,25100
Sinaloa,Ahome,Poblado comunal,Paredones,81377
Baja California,Tecate,Ejido,Loma Tova,21506
Distrito Federal,Iztapalapa,Unidad habitacional,Anastasio Bustamante,9740
Guanajuato,Celaya,Colonia,San Isidro de Trojes,38143
Chihuahua,Chihuahua,Colonia,Charros,31114
Jalisco,Cabo Corrientes,Pueblo,Chacala,48427
Baja California,Tecate,Fraccionamiento,Hacienda Tecate,21530
Distrito Federal,Iztapalapa,Unidad habitacional,El ?rbol FOVISSSTE,9780
Guanajuato,Celaya,Pueblo,San Miguel Octopan,38130
Tabasco,Huimanguillo,Ejido,Licenciado Antonio Zamora Arrioja,86456
Chihuahua,Chihuahua,Colonia,Colinas del Sol III,31114
Coahuila de Zaragoza,Saltillo,Colonia,Candelarias,25019
Veracruz de Ignacio de la Llave,Misantla,Pueblo,Santa Clara,93820
Baja California,Tecate,Ejido,Baja California,21511
Guanajuato,Celaya,Hacienda,Los Galvanes,38133
Sinaloa,El Fuerte,Ejido,Ranchito de Bateve,81805
Tamaulipas,Matamoros,Fraccionamiento,Infonavit Paseo Residencial,87380
Coahuila de Zaragoza,Saltillo,Colonia,Postal Cerritos,25019
Tabasco,Centro,Residencial,Residencial las Puertas,86039
Distrito Federal,Iztapalapa,Unidad habitacional,Cooperativa Tlaltenco,9960
Sinaloa,El Fuerte,Ejido,Cuesta Alta,81850
Coahuila de Zaragoza,Saltillo,Residencial,Brisas Poniente,25225
Baja California,Tijuana,Fraccionamiento,Residencial Los Abedules,22244
Distrito Federal,Iztapalapa,Unidad habitacional,Bertha Von Bloumer,9864
Tabasco,Nacajuca,Fraccionamiento,El Dorado,86247
Chihuahua,Chihuahua,Colonia,Palestina Concordia,31375
Tamaulipas,Matamoros,Fraccionamiento,Valle Del Magisterio,87382
Coahuila de Zaragoza,Saltillo,Residencial,Villa Vergel,25210
Baja California,Mexicali,Fraccionamiento,Camino Viejo,21320
Guanajuato,Celaya,Hacienda,Santa Rita,38137
Sinaloa,El Fuerte,Ejido,Palo Verde,81856
Chihuahua,Chihuahua,Colonia,Arturo Gamiz,31375
Tamaulipas,Matamoros,Fraccionamiento,Residencial la Hacienda,87382
Coahuila de Zaragoza,Saltillo,Residencial,Las Quintas,25206
Veracruz de Ignacio de la Llave,Misantla,Colonia,Ancon Esperanza O El Pedregal,93826
Baja California,Tecate,Colonia,El Mirador,21472
Sinaloa,El Fuerte,Ejido,El Sufragio,81877
Coahuila de Zaragoza,Saltillo,Residencial,Las Misiones,25209
Chihuahua,Chihuahua,Colonia,Las Acacias,31375
Coahuila de Zaragoza,Saltillo,Residencial,Quinta Real,25209
Veracruz de Ignacio de la Llave,Misantla,Colonia,Francisco Villa,93826
Sinaloa,Ahome,Ejido,Cachoana,81306
Chihuahua,Chihuahua,Colonia,Robinson Residencial,31375
Tamaulipas,Matamoros,Fraccionamiento,Valle Encantado,87389
Coahuila de Zaragoza,Saltillo,Colonia,Rancho las Varas,25280
Veracruz de Ignacio de la Llave,Misantla,Colonia,La Gloria,93826
Hidalgo,Atitalaquia,Colonia,Loma del Barrio del Cardonal,42970
Sinaloa,Guasave,Ejido,Treinta y Ocho (Treinta y Ochito),81113
Chihuahua,Chihuahua,Colonia,Robinson Sector IV,31375
Coahuila de Zaragoza,Saltillo,Colonia,Unidad Modelo,25169
Veracruz de Ignacio de la Llave,Misantla,Colonia,Sector Popular,93826
Baja California,Tecate,Colonia,Chula Vista,21507
Tabasco,Centro,Fraccionamiento,Palmeira,86190
Sinaloa,Guasave,Ejido,Figueroa,81122
Sonora,Etchojoa,Granja,Pobama,85283
Coahuila de Zaragoza,Saltillo,Residencial,Hacienda La Magueyada,25137
Veracruz de Ignacio de la Llave,Misantla,Colonia,Puerto Palchan,93827
Tabasco,Centla,Ejido,Las Tijeras,86756
Sinaloa,Guasave,Ejido,Las Parritas,81128
Coahuila de Zaragoza,Saltillo,Fraccionamiento,Privada los Magueyes,25016
Veracruz de Ignacio de la Llave,Misantla,Colonia,Rafael Ramirez La Voignet,93827
Baja California,Mexicali,Fraccionamiento,Las Magdalenas,21135
Sinaloa,Guasave,Poblado comunal,Campo Figueroa,81128
Baja California,Mexicali,Fraccionamiento,Residencial Barcelona II,21323
Tabasco,Centla,Ejido,Hablan los Hechos,86756
Sinaloa,Sinaloa,Ejido,La Guamuchilera,81985
Chihuahua,Chihuahua,Colonia,Antiguo Lienzo Charro,31375
Tamaulipas,Matamoros,Colonia,Voluntad y Trabajo,87390
Veracruz de Ignacio de la Llave,Misantla,Colonia,5 de Mayo,93828
Baja California,Mexicali,Fraccionamiento,Hacienda de Castilla,21327
Sinaloa,Sinaloa,Ejido,Ceferino Paredes,81985
Coahuila de Zaragoza,Saltillo,Colonia,Loma Linda,25016
Veracruz de Ignacio de la Llave,Misantla,Colonia,Espaldilla,93828
Baja California,Playas de Rosarito,Fraccionamiento,Playas de Santander,22705
Sinaloa,Guasave,Poblado comunal,Ladrilleras de Ocoro,81103
Chihuahua,Chihuahua,Colonia,Melchor Ocampo,31375
Oaxaca,San Miguel del Puerto,Pueblo,La Merced Del Potrero,70990
Tabasco,Centro,Fraccionamiento,Las Lomas,86280
Baja California,Playas de Rosarito,Fraccionamiento,Catalina del Mar,22707
Guanajuato,Celaya,Hacienda,Jofre,38140
Sinaloa,Guasave,Poblado comunal,La Sabanilla (Campo Preciado),81101
Chihuahua,Chihuahua,Colonia,Obrera Vista Avalos,31375
Coahuila de Zaragoza,Saltillo,Colonia,Gaspar Valdez,25016
Veracruz de Ignacio de la Llave,Misantla,Colonia,Lindavista,93829
Sinaloa,Guasave,Poblado comunal,Campo La Once,81120
Chihuahua,Chihuahua,Colonia,Sector 3 Robinson,31375
Tamaulipas,Matamoros,Colonia,Luis Donaldo Colosio,87394
Sonora,Etchojoa,Ejido,Campo Salido,85284
Hidalgo,Tula de Allende,Fraccionamiento,Quinta las Rosas,42803
Tabasco,Centro,Fraccionamiento,El Encanto,86288
Baja California,Playas de Rosarito,Fraccionamiento,Plaza del Mar,22744
Sinaloa,Guasave,Poblado comunal,Las Juntas de Chamicari,81132
Coahuila de Zaragoza,Saltillo,Colonia,Universidad Norte,25260
Veracruz de Ignacio de la Llave,Misantla,Colonia,Obrera,93829
Oaxaca,San Miguel del Puerto,Pueblo,San Miguel del Puerto,70990
Hidalgo,Actopan,Unidad habitacional,San ?ngel Inn,42505
Sinaloa,Guasave,Ejido,Ranchito de Zavala,81140
Tabasco,Macuspana,Colonia,Del Canal,86725
Chihuahua,Chihuahua,Condominio,San Francisco I,31115
Sonora,Etchojoa,Hacienda,Hacienda Zaragoza,85284
Coahuila de Zaragoza,Saltillo,Fraccionamiento,Valle de Santa Elena,25023
Hidalgo,Actopan,Colonia,Pozo Grande,42505
Baja California,Playas de Rosarito,Fraccionamiento,Rancho El Mirador,22716
Sinaloa,Guasave,Poblado comunal,Campo Filipinas,81162
Tabasco,Teapa,Colonia,Las Grutas,86801
Chihuahua,Chihuahua,Condominio,San Francisco II,31115
Tamaulipas,Matamoros,Colonia,El Roble,87394
Sonora,Etchojoa,Ejido,Campo Marcos Aguilera,85284
Guerrero,San Miguel Totolapan,Pueblo,San Miguel Totolapan,40780
Baja California,Mexicali,Fraccionamiento,?ngeles de Puebla,21620
Tabasco,Comalcalco,Ejido,Buena Vista,86670
Sinaloa,Sinaloa,Poblado comunal,La Loma de Lugo,81904
Chihuahua,Chihuahua,Condominio,San Francisco III,31115
Tamaulipas,Matamoros,Colonia,Los ?ngeles,87394
Hidalgo,Huejutla de Reyes,Colonia,Dos Caminos,43000
Coahuila de Zaragoza,Saltillo,Fraccionamiento,Lomas del Refugio,25084
Guerrero,San Miguel Totolapan,Pueblo,El Terrero 1,40781
Baja California,Mexicali,Fraccionamiento,Villa del Roble,21395
Chihuahua,Chihuahua,Condominio,San Francisco IV,31115
Hidalgo,Huejutla de Reyes,Colonia,La Garita,43000
Coahuila de Zaragoza,Saltillo,Colonia,Torrecillas y Ramones,25298
Guerrero,San Miguel Totolapan,Pueblo,La Comunidad,40781
Veracruz de Ignacio de la Llave,Misantla,Ejido,Troncones,93830
Tabasco,Centro,Fraccionamiento,Villa Parrilla,86284
Chihuahua,Chihuahua,Condominio,San Francisco V,31115
Coahuila de Zaragoza,Saltillo,Colonia,Los Siller,25204
Guerrero,San Miguel Totolapan,Pueblo,Valle Luz,40781
Oaxaca,Putla Villa de Guerrero,Ejido,San Juan las Huertas,71021
Veracruz de Ignacio de la Llave,Misantla,Ejido,La Reforma,93830
Tabasco,Macuspana,Ejido,El Regocijo,86726
Chihuahua,Chihuahua,Condominio,San Francisco VI,31115
Tamaulipas,Matamoros,Colonia,El Alto,87394
Coahuila de Zaragoza,Saltillo,Fraccionamiento,Balcones de La Aurora,25296
Oaxaca,Putla Villa de Guerrero,Colonia,Putla de Guerrero Centro,71009
Baja California,Mexicali,Fraccionamiento,Rincones de Puebla,21620
Tamaulipas,Matamoros,Colonia,La Estrella,87394
Hidalgo,Huejutla de Reyes,Fraccionamiento,Todos Por Hidalgo,43000
Coahuila de Zaragoza,Saltillo,Residencial,Los Reales,25253
Guerrero,San Miguel Totolapan,Campamento,Los Encinos,40782
Chiapas,Palenque,Barrio,San Miguel,29960
Veracruz de Ignacio de la Llave,Misantla,Pueblo,La Libertad,93833
Baja California,Tijuana,Fraccionamiento,Residencial San Marino,22567
Chihuahua,Chihuahua,Fraccionamiento,Jardines de San Francisco I,31115
Tamaulipas,Matamoros,Colonia,Las Bermudas,87394
Coahuila de Zaragoza,Saltillo,Fraccionamiento,Jardines de los Bosques,25298
Veracruz de Ignacio de la Llave,Misantla,Pueblo,Ignacio Zaragoza,93840
Chihuahua,Chihuahua,Fraccionamiento,Jardines de San Francisco II,31115
Tamaulipas,Matamoros,Ejido,La Luz,87394
Hidalgo,Huejutla de Reyes,Colonia,El Moreno,43000
Coahuila de Zaragoza,Saltillo,Residencial,Plaza,25298
Guerrero,San Miguel Totolapan,Pueblo,El Remance,40783
Veracruz de Ignacio de la Llave,Misantla,Ejido,Arroyo Hondo,93834
Puebla,San Gabriel Chilac,Pueblo,San Gabriel Chilac,75880
Baja California,Mexicali,Fraccionamiento,Balboa Residencial,21255
Tabasco,Centro,Fraccionamiento,San Vicente,86289
Chiapas,Tapachula,Fraccionamiento,La Antorcha,30798
Puebla,San Gabriel Chilac,Pueblo,San Juan Atzingo,75885
Guanajuato,Apaseo el Grande,Colonia,Apaseo El Grande Centro,38160
Distrito Federal,Xochimilco,Campamento,Tiziclipa,16520
Chihuahua,Chihuahua,Colonia,Valle del Angel,31115
Tamaulipas,Matamoros,Colonia,Ocampo,87394
Guerrero,San Miguel Totolapan,Pueblo,San Antonio Gavia,40784
Veracruz de Ignacio de la Llave,Misantla,Pueblo,Poxtitlan,93843
Puebla,San Gabriel Chilac,Colonia,San Gabriel Vista Hermosa,75886
Baja California,Tijuana,Fraccionamiento,Urbi Quinta del Cedro,22564
Guanajuato,Apaseo el Grande,Colonia,El Cerrito,38163
Tamaulipas,Matamoros,Colonia,Ebenezer,87394
